1.76726e+09,-nan,-nan
1.76726e+09,0.0716845,0.00394467
1.76726e+09,0.293105,0.0141209
1.76726e+09,0.244919,0.0223911
1.76726e+09,1.54456,0.592306
1.76726e+09,0.0621118,0.00277913
1.76726e+09,1.06356,1.02372
1.76726e+09,0.307872,0.00644151
1.76726e+09,1,0.0329157
1.76726e+09,0.259678,0.0137658
1.76726e+09,0.471096,0.010947
1.76726e+09,0.190818,0.00980463
1.76726e+09,0.239196,0.0098833
1.76726e+09,0.0543538,0.000287429
1.76726e+09,1.57768,0.0415877
1.76726e+09,0.376478,0.024479
1.76726e+09,0.324727,0.0208188
1.76726e+09,0.835664,0.486395
1.76726e+09,1.85642,0.00471582
1.76726e+09,0.432731,0.0115579
1.76726e+09,0.196894,0.0121613
1.76726e+09,0.483642,0.0230982
1.76726e+09,0.115901,0.00513628
1.76726e+09,-nan,-nan
1.76726e+09,0.0137997,0.00158895
1.76726e+09,0.0141409,0.000890946
1.76726e+09,0.096267,0.00311566
1.76726e+09,0.0935686,0.00325243
1.76726e+09,0.0647641,0.000251186
1.76726e+09,0.126758,0.00602272
1.76726e+09,0.0980131,0.00331918
1.76726e+09,0.102194,0.00413188
1.76726e+09,1,0.00122947
1.76726e+09,0.0220151,0.00205752
1.76726e+09,1,0.00119026
1.76726e+09,0.0493261,0.00493498
1.76726e+09,0.0643894,0.00110543
1.76726e+09,0.0163497,0.00191034
1.76726e+09,0.0911626,0.00204707
1.76726e+09,0.165536,0.0014782
1.76726e+09,1,0.00862786
1.76726e+09,0.0389027,0.00210396
1.76726e+09,0.0892998,0.00530099
1.76726e+09,0.0834299,0.00747409
1.76726e+09,0.193979,0.00254843
1.76726e+09,1,0.00293968
1.76726e+09,0.0516419,0.00375387
1.76726e+09,0.0404711,0.00323019
1.76726e+09,0.0251036,0.00171399
1.76726e+09,0.129685,0.00612609
1.76726e+09,0.0151428,0.00322976
1.76726e+09,0.0102422,0.00112826
1.76726e+09,0.0605617,0.00262788
1.76726e+09,0.0497141,0.00186567
1.76726e+09,0.0946285,0.00527827
1.76726e+09,0.119665,0.00656192
1.76726e+09,0.0333038,0.00198039
1.76726e+09,0.0630468,0.00276353
1.76726e+09,0.0231434,0.000368569
1.76726e+09,0.131293,0.00231434
1.76726e+09,0.0597672,0.00319625
1.76726e+09,0.115134,0.00906995
1.76726e+09,0.0252792,0.0052095
1.76726e+09,0.0441096,0.00621566
1.76726e+09,0.0520133,0.00242019
1.76726e+09,0.170057,0.0117214
1.76726e+09,0.160265,0.0255531
1.76726e+09,0.141277,0.0152615
1.76726e+09,0.0572905,0.009537
1.76726e+09,0.105998,0.0170643
1.76726e+09,0.0636649,0.0198918
1.76726e+09,0.0993058,0.00118609
1.76726e+09,0.139681,0.0059397
1.76726e+09,0.111044,0.0105709
1.76726e+09,0.0634947,0.0107485
1.76726e+09,0.0746215,0.0166437
1.76726e+09,1,0.0713287
1.76726e+09,0.127693,0.0665911
1.76726e+09,0.0514098,0.0262254
1.76726e+09,0.0301305,0.0131041
1.76726e+09,0.164531,0.00699213
1.76726e+09,0.0492804,0.0141248
1.76726e+09,0.0891773,0.0328967
1.76726e+09,0.0622949,0.0190386
1.76726e+09,0.0455267,0.00623538
1.76726e+09,0.0894461,0.00774974
1.76726e+09,0.037763,0.00345599
1.76726e+09,0.114362,0.0107047
1.76726e+09,0.0391923,0.0244614
1.76726e+09,0.269196,0.0193146
1.76726e+09,0.0242788,0.0173831
1.76726e+09,0.105467,0.0205314
1.76726e+09,0.102003,0.0220563
1.76726e+09,0.197488,0.0322716
1.76726e+09,1,0.0603136
1.76726e+09,0.139332,0.0442802
1.76726e+09,1,0.00940119
1.76726e+09,0.254899,0.0170369
1.76726e+09,0.177841,0.0102324
1.76726e+09,0.124548,0.00541736
1.76726e+09,0.102825,0.0058021
1.76726e+09,0.154944,0.00703733
1.76726e+09,0.220542,0.0313089
1.76726e+09,0.110998,0.0284898
1.76726e+09,0.0728411,0.00518653
1.76726e+09,0.0847882,0.00504527
1.76726e+09,0.131327,0.0226274
1.76726e+09,0.116419,0.0238229
1.76726e+09,0.104704,0.00645174
1.76726e+09,0.154773,0.00787858
1.76726e+09,0.0754712,0.00768123
1.76726e+09,0.0223114,0.00859019
1.76726e+09,0.0573313,0.00234565
1.76726e+09,1,0.00506743
1.76726e+09,0.0950389,0.0054848
1.76726e+09,0.0595252,0.00504159
1.76726e+09,0.0610203,0.00226707
1.76726e+09,0.179125,0.00631319
1.76726e+09,0.105423,0.0144243
1.76726e+09,0.141545,0.0068922
1.76726e+09,0.156858,0.0154364
1.76726e+09,0.140265,0.0117185
1.76726e+09,0.252802,0.00771376
1.76726e+09,0.254986,0.0099842
1.76726e+09,0.146816,0.00740754
1.76726e+09,0.0575678,0.0017114
1.76726e+09,0.00792919,0.035241
1.76726e+09,0.0505088,0.0469169
1.76726e+09,0.12034,0.03848
1.76726e+09,0.0848073,0.0305295
1.76726e+09,0.061509,0.00311026
1.76726e+09,0.119818,0.00858587
1.76726e+09,0.113987,0.00358323
1.76726e+09,0.209428,0.00563471
1.76726e+09,0.314575,0.012557
1.76726e+09,0.154929,0.00718174
1.76726e+09,0.0487577,0.0306081
1.76726e+09,0.0764124,0.0269103
1.76726e+09,0.0364335,0.0147194
1.76726e+09,0.015456,0.00475862
1.76726e+09,0.0917488,0.00468073
1.76726e+09,0.0989403,0.0213955
1.76726e+09,0.253764,0.0192236
1.76726e+09,0.0594386,0.00345031
1.76726e+09,0.147285,0.00830784
1.76726e+09,0.220829,0.00915756
1.76726e+09,0.282123,0.00939097
1.76726e+09,0.0647271,0.00668454
1.76726e+09,0.137897,0.0070422
1.76726e+09,0.365344,0.00785336
1.76726e+09,0.103245,0.00366315
1.76726e+09,0.0261212,0.00236734
1.76732e+09,-nan,-nan
1.76732e+09,0.0496615,0.00420568
1.76732e+09,0.147329,0.00215748
1.76732e+09,1,0.000551813
1.76732e+09,0.00354852,0.000352871
1.76732e+09,0.736904,0.00304866
1.76732e+09,0.296903,0.00386057
1.76732e+09,0.298027,0.00111089
1.76732e+09,0.621141,0.000921649
1.76732e+09,0.0923367,0.00292561
1.76732e+09,0.0803029,0.000897712
1.76732e+09,0.159692,0.00130854
1.76732e+09,0.143262,0.00387458
1.76732e+09,0.113697,0.00113524
1.76732e+09,0.0283103,0.00148552
1.76732e+09,0.0580346,0.000741306
1.76732e+09,0.3722,0.00236901
1.76732e+09,0.254769,0.00174206
1.76732e+09,0.251888,0.00113202
1.76732e+09,1,0.00608585
1.76732e+09,0.199862,0.00348135
1.76732e+09,0.448683,0.00274924
1.76732e+09,0.275398,0.00130909
1.76732e+09,1,0.00178741
1.76732e+09,0.10376,0.00196597
1.76732e+09,0.089202,0.000766606
1.76732e+09,0.479207,0.00270296
1.76732e+09,0.497228,0.00100785
1.76732e+09,0.20995,0.00207796
1.76732e+09,0.402923,0.00800622
1.76732e+09,0.82171,0.00201366
1.76732e+09,0.0842863,0.000838469
1.76732e+09,1,0.00301636
1.76732e+09,0.28298,0.00295026
1.76732e+09,0.249797,0.0026895
1.76732e+09,0.193588,0.00060911
1.76732e+09,0.964878,0.000341055
1.76732e+09,0.0460148,0.00139436
1.76732e+09,0.720759,0.000985048
1.76732e+09,0.262103,0.00333849
1.76732e+09,0.811196,0.00369066
1.76732e+09,0.150139,0.00249322
1.76732e+09,1,0.00429747
1.76732e+09,0.02818,0.000312574
1.76732e+09,0.153954,0.00383448
1.76732e+09,0.0955898,0.000511357
1.76732e+09,0.641808,0.00364273
1.76732e+09,1,0.000468389
1.76732e+09,0.0989921,0.0021869
1.76732e+09,1,0.000569604
1.76732e+09,0.0615079,0.00169237
1.76732e+09,0.190352,0.000580458
1.76732e+09,0.0568355,0.000662217
1.76732e+09,1.03847,0.00236803
1.76732e+09,0.0802771,0.00168659
1.76732e+09,1,0.00700749
1.76732e+09,0.921098,0.00246147
1.76732e+09,0.214241,0.00529269
1.76732e+09,0.109563,0.000794657
1.76732e+09,1,0.00191491
1.76732e+09,0.0208623,0.00165613
1.76732e+09,0.850391,0.00313393
1.76732e+09,0.685455,0.00450355
1.76732e+09,0.0409241,0.0025724
1.76732e+09,0.155114,0.00171414
1.76732e+09,0.750465,0.00201664
1.76732e+09,0.563416,0.00397728
1.76732e+09,0.417434,0.00269993
1.76732e+09,0.330705,0.00289839
1.76732e+09,0.117883,0.00238553
1.76732e+09,0.160399,0.00162598
1.76732e+09,0.305385,0.00414031
1.76732e+09,0.106729,0.00479651
1.76732e+09,0.176386,0.00319123
1.76732e+09,0.203797,0.00296388
1.76732e+09,1,0.00105477
1.76732e+09,0.0544385,0.0013718
1.76732e+09,0.0812865,0.00154084
1.76732e+09,0.231918,0.000686665
